Rk,Player,Age,Team,Pos,G,GS,Tgt,Rec,Yds,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Rat,Team_Total_Targets,Target_Share
39,Demario Douglas,24,NWE,WR,17,7,87,66,621,31,262,4.0,359,5.4,5.9,2.0,33.0,7,8.0,97.0,500,17.4
40,Zach Ertz,34,WAS,TE,17,17,91,66,654,38,467,7.1,187,2.8,7.4,0.0,,4,4.4,109.0,504,18.06
41,Hunter Henry,30,NWE,TE,16,16,97,66,674,40,406,6.2,268,4.1,7.0,2.0,33.0,2,2.1,90.3,500,19.4
42,D.K. Metcalf,27,SEA,WR,15,12,108,66,992,35,729,11.0,263,4.0,13.1,3.0,22.0,4,3.7,99.0,569,18.98
43,Pat Freiermuth,26,PIT,TE,17,11,78,65,653,32,374,5.8,279,4.3,6.1,4.0,16.3,4,5.1,126.1,460,16.96
44,Mike Gesicki,29,CIN,TE,17,3,83,65,665,38,420,6.5,245,3.8,7.4,0.0,,5,6.0,108.1,628,13.22
45,Darnell Mooney,27,ATL,WR,16,16,106,64,992,48,717,11.2,275,4.3,12.2,6.0,10.7,6,5.7,99.3,539,19.67
46,David Njoku,28,CLE,TE,11,11,97,64,505,23,254,4.0,251,3.9,5.2,4.0,16.0,7,7.2,83.1,634,15.3
47,Calvin Ridley,30,TEN,WR,17,14,120,64,1017,40,786,12.3,231,3.6,15.3,4.0,16.0,6,5.0,79.1,507,23.67
48,Jordan Addison,22,MIN,WR,15,15,99,63,875,39,662,10.5,213,3.4,13.0,3.0,21.0,2,2.0,113.8,517,19.15
49,Marvin Harrison Jr.,22,ARI,WR,17,16,116,62,885,43,737,11.9,148,2.4,13.4,0.0,,5,4.3,87.0,523,22.18
50,Ray-Ray McCloud,28,ATL,WR,17,13,87,62,686,29,351,5.7,335,5.4,6.8,1.0,62.0,3,3.4,83.8,539,16.14
51,Elijah Moore,24,CLE,WR,17,13,102,61,538,25,405,6.6,133,2.2,9.3,1.0,61.0,5,4.9,44.5,634,16.09
52,Bijan Robinson,22,ATL,RB,17,17,72,61,431,20,-100,-1.6,531,8.7,-0.5,5.0,12.2,3,4.2,96.2,539,13.36
53,Sam LaPorta,23,DET,TE,16,16,83,60,726,39,383,6.4,343,5.7,7.0,3.0,20.0,1,1.2,116.8,522,15.9
54,Jake Ferguson,25,DAL,TE,14,14,86,59,494,18,185,3.1,309,5.2,4.1,6.0,9.8,3,3.5,83.2,622,13.83
55,Cade Otton,25,TAM,TE,14,14,87,59,600,31,289,4.9,311,5.3,5.5,6.0,9.8,8,9.2,88.3,563,15.45
56,George Pickens,23,PIT,WR,14,12,103,59,900,37,685,11.6,215,3.6,13.3,4.0,14.8,6,5.8,87.8,460,22.39
57,Xavier Worthy,21,KAN,WR,17,13,98,59,638,36,231,3.9,407,6.9,9.2,0.0,,7,7.1,91.3,572,17.13
58,Jaylen Waddle,26,MIA,WR,15,15,83,58,744,38,508,8.8,236,4.1,10.0,0.0,,8,9.6,90.6,568,14.61
59,Jameson Williams,23,DET,WR,15,11,91,58,1001,41,504,8.7,497,8.6,11.2,2.0,29.0,3,3.3,112.9,522,17.43
60,Breece Hall,23,NYJ,RB,16,16,76,57,483,15,-13,-0.2,496,8.7,0.2,6.0,9.5,9,11.8,104.2,589,12.9
61,DeAndre Hopkins,32,2TM,WR,16,8,80,56,610,35,501,8.9,109,1.9,10.4,3.0,18.7,2,2.5,102.6,481,16.63
61,DeAndre Hopkins,32,TEN,WR,6,3,21,15,173,10,172,11.5,1,0.1,10.2,2.0,7.5,1,4.8,72.2,507,4.14
61,DeAndre Hopkins,32,KAN,WR,10,5,59,41,437,25,329,8.0,108,2.6,10.4,1.0,41.0,1,1.7,113.5,572,10.31
62,Mark Andrews,29,BAL,TE,17,13,69,55,673,39,485,8.8,188,3.4,10.5,1.0,55.0,4,5.8,140.9,457,15.1
63,Quentin Johnston,23,LAC,WR,15,11,91,55,711,32,405,7.4,306,5.6,10.8,8.0,6.9,7,7.7,109.7,491,18.53
64,Jayden Reed,24,GNB,WR,17,10,75,55,857,29,477,8.7,380,6.9,9.1,3.0,18.3,9,12.0,137.5,464,16.16
65,Chase Brown,24,CIN,RB,16,10,65,54,360,23,34,0.6,326,6.0,0.8,2.0,27.0,2,3.1,110.3,628,10.35
66,Rome Odunze,22,CHI,WR,17,12,101,54,734,37,481,8.9,253,4.7,13.9,4.0,13.5,6,5.9,82.7,527,19.17
67,Dalton Schultz,28,HOU,TE,17,13,85,53,532,26,318,6.0,214,4.0,8.1,0.0,,4,4.7,83.1,547,15.54
