"Rank","Player","RZ_REC","RZ_TGT","RZ_REC_PCT","RZ_YDS","Y/R","RZ_P_TD","RZ_TGT_PCT","ATT","YDS","RTD","PCT","FL","G","FPTS","FPTS/G","ROST %"
"74","DJ Turner (FA)","1","4","25.0%","11","11.0","1","14.3%","3","27","1","42.9%","0","13","16.8","1.3","1.0%"
"75","Diontae Johnson (CLE)","3","11","27.3%","18","6.0","2","24.4%","0","0","0","0.0%","0","11","16.8","1.5","18.0%"
"76","Greg Dortch (ARI)","6","6","100.0%","37","6.2","1","24.0%","2","10","0","100.0%","0","17","16.7","1.0","4.6%"
"77","Nelson Agholor (FA)","2","2","100.0%","17","8.5","2","11.1%","0","0","0","0.0%","0","13","15.7","1.2","1.0%"
"78","Chris Olave (NO)","4","6","66.7%","55","13.8","1","37.5%","0","0","0","0.0%","0","8","15.5","1.9","88.6%"
"79","Ryan Miller (TB)","2","3","66.7%","14","7.0","2","7.1%","0","0","0","0.0%","0","11","15.4","1.4","1.0%"
"80","Ja'Lynn Polk (NE)","2","4","50.0%","7","3.5","2","20.0%","1","0","0","100.0%","0","15","14.7","1.0","4.3%"
"81","Malik Heath (GB)","2","2","100.0%","6","3.0","2","4.3%","0","0","0","0.0%","0","12","14.6","1.2","0.6%"
"82","Mecole Hardman Jr. (GB)","4","5","80.0%","11","2.8","0","10.2%","3","33","1","30.0%","0","12","14.4","1.2","1.0%"
"83","Brandin Cooks (NO)","2","4","50.0%","5","2.5","2","8.7%","1","-3","0","33.3%","0","10","14.2","1.4","11.5%"
"84","Ricky Pearsall (SF)","5","6","83.3%","25","5.0","1","13.3%","1","4","0","9.1%","0","11","13.9","1.3","80.6%"
"85","John Metchie III (HOU)","5","8","62.5%","29","5.8","1","21.6%","0","0","0","0.0%","0","13","13.9","1.1","3.2%"
"86","Marvin Mims Jr. (DEN)","4","4","100.0%","22","5.5","1","9.1%","0","0","0","0%","0","17","12.2","0.7","52.6%"
"87","Ray-Ray McCloud III (ATL)","3","5","60.0%","18","6.0","1","14.3%","1","14","0","100.0%","0","17","12.2","0.7","5.7%"
"88","Sterling Shepard (TB)","3","6","50.0%","29","9.7","1","14.3%","4","3","0","100.0%","0","14","12.2","0.9","1.0%"
"89","Jerry Jeudy (CLE)","4","12","33.3%","21","5.3","1","41.4%","0","0","0","0%","0","17","12.1","0.7","89.0%"
"90","KaVontae Turpin (DAL)","3","7","42.9%","31","10.3","1","15.2%","1","0","0","33.3%","0","17","12.1","0.7","5.9%"
"91","Curtis Samuel (BUF)","3","6","50.0%","28","9.3","1","15.8%","1","0","0","100.0%","0","14","11.8","0.8","8.8%"
"92","Derius Davis (LAC)","2","2","100.0%","27","13.5","1","7.1%","1","8","0","50.0%","0","15","11.5","0.8","0.9%"
"93","Trey Palmer (TB)","2","2","100.0%","34","17.0","1","4.8%","0","0","0","0.0%","0","15","11.4","0.8","1.6%"
"94","DeMario Douglas (NE)","4","6","66.7%","14","3.5","1","30.0%","0","0","0","0.0%","0","17","11.4","0.7","23.7%"
"95","Christian Watson (GB)","2","8","25.0%","11","5.5","1","17.4%","1","14","0","33.3%","0","15","10.5","0.7","17.5%"
"96","Jalen Coker (CAR)","2","6","33.3%","23","11.5","1","13.3%","0","0","0","0.0%","0","11","10.3","0.9","17.8%"
"97","Malik Washington (MIA)","2","2","100.0%","4","2.0","0","5.6%","1","18","1","33.3%","0","14","10.2","0.7","7.3%"
"98","Kristian Wilkerson (BUF)","2","3","66.7%","18","9.0","1","10.7%","0","0","0","0.0%","0","1","9.8","9.8","1.0%"
"99","Christian Kirk (HOU)","2","5","40.0%","18","9.0","1","12.5%","0","0","0","0.0%","0","8","9.8","1.2","45.5%"
"100","Cedric Tillman (CLE)","2","5","40.0%","17","8.5","1","17.2%","0","0","0","0%","0","11","9.7","0.9","33.8%"
"101","Darnell Mooney (ATL)","2","6","33.3%","16","8.0","1","17.1%","0","0","0","0.0%","0","16","9.6","0.6","68.7%"
"102","Tyler Lockett (TEN)","2","10","20.0%","15","7.5","1","29.4%","0","0","0","0%","0","17","9.5","0.6","17.4%"
"103","Josh Reynolds (NYJ)","2","2","100.0%","14","7.0","1","5.0%","0","0","0","0.0%","0","8","9.4","1.2","1.0%"
"104","Rashee Rice (KC)","2","2","100.0%","10","5.0","1","4.1%","0","0","0","0.0%","0","4","9.0","2.3","94.8%"
"105","Kalif Raymond (DET)","2","2","100.0%","8","4.0","1","3.8%","0","0","0","0.0%","0","12","8.8","0.7","1.5%"
"106","Jalen Brooks (DAL)","1","4","25.0%","17","17.0","1","8.7%","0","0","0","0.0%","0","14","8.7","0.6","0.6%"
"107","Parker Washington (JAC)","2","6","33.3%","7","3.5","1","15.0%","0","0","0","0.0%","0","17","8.7","0.5","7.3%"
"108","Cedrick Wilson Jr. (NO)","1","1","100.0%","12","12.0","1","6.3%","0","0","0","0.0%","0","15","8.2","0.5","0.6%"
"109","Bub Means (NO)","1","1","100.0%","10","10.0","1","6.3%","0","0","0","0.0%","0","7","8.0","1.1","1.5%"
"110","Trent Sherfield Sr. (DEN)","1","1","100.0%","10","10.0","1","2.1%","0","0","0","0.0%","0","15","8.0","0.5","0.0%"
"111","Kendrick Bourne (NE)","1","2","50.0%","9","9.0","1","10.0%","0","0","0","0.0%","0","12","7.9","0.7","2.7%"
"112","Johnny Wilson (PHI)","1","3","33.3%","5","5.0","1","10.0%","0","0","0","0.0%","0","16","7.5","0.5","1.0%"
"113","Marquez Valdes-Scantling (SEA)","1","2","50.0%","2","2.0","1","12.5%","0","0","0","0.0%","0","13","7.2","0.6","8.0%"
"114","Parris Campbell (DAL)","1","1","100.0%","1","1.0","1","3.3%","0","0","0","0.0%","0","4","7.1","1.8","0.1%"
"115","Xavier Gipson (NYJ)","1","1","100.0%","1","1.0","1","1.6%","0","0","0","0.0%","0","17","7.1","0.4","0.7%"
"116","Brandon Aiyuk (SF)","3","6","50.0%","34","11.3","0","13.3%","0","0","0","0.0%","0","7","6.4","0.9","71.1%"
"117","Elijah Moore (BUF)","4","7","57.1%","22","5.5","0","24.1%","0","0","0","0%","0","17","6.2","0.4","7.6%"
"118","Noah Brown (WAS)","3","4","75.0%","14","4.7","0","11.1%","0","0","0","0%","0","11","4.4","0.4","3.4%"
"119","Rashid Shaheed (NO)","2","4","50.0%","5","2.5","0","25.0%","3","17","0","100.0%","0","6","4.2","0.7","67.9%"
"120","Joshua Palmer (BUF)","3","7","42.9%","11","3.7","0","25.0%","0","0","0","0.0%","0","15","4.1","0.3","23.5%"
"121","Tyler Johnson (NYJ)","2","8","25.0%","19","9.5","0","18.2%","0","0","0","0.0%","0","11","3.9","0.4","1.1%"
"122","DeAndre Carter (CLE)","2","3","66.7%","16","8.0","0","5.5%","0","0","0","0%","0","13","3.6","0.3","0.1%"
"123","Luke McCaffrey (WAS)","2","3","66.7%","15","7.5","0","8.3%","0","0","0","0%","0","17","3.5","0.2","5.6%"
"124","Lil'Jordan Humphrey (NYG)","2","6","33.3%","15","7.5","0","13.6%","0","0","0","0%","0","14","3.5","0.3","0.7%"
"125","Tyler Boyd (FA)","2","7","28.6%","13","6.5","0","26.9%","0","0","0","0.0%","0","15","3.3","0.2","1.9%"
"126","Calvin Austin III (PIT)","2","5","40.0%","12","6.0","0","15.6%","0","0","0","0%","0","17","3.2","0.2","11.8%"
"127","Kayshon Boutte (NE)","2","4","50.0%","12","6.0","0","20.0%","0","0","0","0.0%","0","15","3.2","0.2","13.6%"
"128","K.J. Osborn (WAS)","2","3","66.7%","12","6.0","0","15.0%","0","0","0","0.0%","0","7","3.2","0.5","1.4%"
"129","DK Metcalf (PIT)","2","8","25.0%","11","5.5","0","23.5%","0","0","0","0%","0","15","3.1","0.2","95.4%"
"130","Devin Duvernay (CHI)","2","2","100.0%","7","3.5","0","5.0%","1","3","0","100.0%","0","13","3.0","0.2","0.1%"
"131","Trenton Irwin (JAC)","2","6","33.3%","9","4.5","0","8.0%","0","0","0","0%","0","6","2.9","0.5","0.0%"
"132","Britain Covey (LAR)","2","2","100.0%","5","2.5","0","6.7%","0","0","0","0.0%","0","5","2.5","0.5","0.0%"
"133","Tutu Atwell (LAR)","1","2","50.0%","8","8.0","0","4.5%","1","7","0","16.7%","0","17","2.5","0.1","10.6%"
"134","Tyquan Thornton (KC)","1","1","100.0%","14","14.0","0","5.0%","0","0","0","0.0%","0","4","2.4","0.6","0.0%"
"135","Michael Woods II (CLE)","1","4","25.0%","13","13.0","0","13.8%","0","0","0","0%","0","5","2.3","0.5","0.1%"
"136","David Bell (CLE)","1","1","100.0%","12","12.0","0","3.4%","0","0","0","0%","0","1","2.2","2.2","0.0%"
"137","Deven Thompkins (FA)","1","1","100.0%","2","2.0","0","2.2%","1","9","0","50.0%","0","5","2.1","0.4","0.0%"
"138","Jermaine Burton (CIN)","1","4","25.0%","11","11.0","0","5.3%","0","0","0","0%","0","14","2.1","0.2","6.8%"
"139","Dyami Brown (JAC)","1","4","25.0%","11","11.0","0","11.1%","0","0","0","0%","0","15","2.1","0.1","13.5%"
"140","Jake Bobo (SEA)","1","1","100.0%","10","10.0","0","2.9%","0","0","0","0%","0","17","2.0","0.1","2.3%"
"141","Ronnie Bell (DET)","1","1","100.0%","10","10.0","0","2.2%","0","0","0","0.0%","0","4","2.0","0.5","0.0%"
"142","Jacob Cowing (SF)","1","2","50.0%","9","9.0","0","4.4%","0","0","0","0.0%","0","15","1.9","0.1","1.6%"
"143","Darius Slayton (NYG)","0","5","0.0%","0","0","0","14.3%","2","17","0","66.7%","0","16","1.7","0.1","14.3%"
"144","Mason Tipton (NO)","1","1","100.0%","6","6.0","0","6.3%","0","0","0","0.0%","0","11","1.6","0.1","1.3%"
"145","Rakim Jarrett (TB)","1","2","50.0%","6","6.0","0","4.8%","0","0","0","0.0%","0","10","1.6","0.2","1.9%"
"146","Brandon Powell (FA)","1","1","100.0%","5","5.0","0","2.1%","0","0","0","0.0%","0","17","1.5","0.1","1.4%"
"147","Odell Beckham Jr. (FA)","1","4","25.0%","5","5.0","0","11.1%","0","0","0","0.0%","0","8","1.5","0.2","1.1%"
"148","Robert Woods (PIT)","1","2","50.0%","4","4.0","0","5.4%","0","0","0","0.0%","0","14","1.4","0.1","1.8%"
"149","Marquise Brown (KC)","1","2","50.0%","3","3.0","0","4.1%","0","0","0","0.0%","0","2","1.3","0.7","56.7%"
