Player,Age,Team,G,Tgt,Rec,Yds,Target_Share,CATCHABLE,AIR,team_air,air_pct,RZ TGT,RZ_REC,RZ_REC_PCT,RZ_P_TD,RZ_TGT_PCT,Routes Run,FPTS,FPTS/G,XFP,fpts_diff,RTD,TD/G,XTD,td_diff,WOPR,VOR,YPRR
devonta smith,26,PHI,13,89,68,833,21.29,70.0,813.0,2519,32.27,11.0,8.0,66.7%,3.0,40.0%,339.0,199.4,15.3,11.5,3.8,8.0,0.6,0.38,0.22,0.55,2.3,2.46
aj brown,27,PHI,13,97,67,1079,23.21,67.0,1177.0,2519,46.72,9.0,7.0,63.6%,4.0,36.7%,313.0,216.9,16.7,13.9,2.8,7.0,0.5,0.49,0.01,0.68,3.7,3.45
cooper kupp,31,LAR,12,100,67,710,18.48,69.0,776.0,3552,21.85,10.0,6.0,60.0%,4.0,22.7%,343.0,175.0,14.6,15.0,-0.4,6.0,0.5,0.46,0.04,0.43,1.6,2.07
demario douglas,24,NWE,17,87,66,621,17.4,74.0,507.0,2508,20.22,5.0,4.0,66.7%,1.0,30.0%,407.0,147.7,8.7,9.1,-0.4,3.0,0.2,0.19,0.01,0.4,-4.3,1.53
dk metcalf,27,SEA,15,108,66,992,18.98,70.0,1414.0,3520,40.17,7.0,2.0,25.0%,0.0,23.5%,527.0,191.2,12.7,14.4,-1.7,5.0,0.3,0.45,-0.15,0.57,-0.3,1.88
darnell mooney,27,ATL,16,106,64,992,19.67,71.0,1325.0,3790,34.96,6.0,2.0,33.3%,1.0,17.1%,497.0,193.2,12.1,12.4,-0.3,5.0,0.3,0.28,0.02,0.54,-0.9,2.0
calvin ridley,30,TEN,17,120,64,1017,23.67,70.0,1840.0,4023,45.74,7.0,4.0,50.0%,1.0,30.8%,510.0,199.2,11.7,13.4,-1.7,4.0,0.3,0.3,0.0,0.68,-1.3,1.99
jordan addison,22,MIN,15,99,63,875,19.15,65.0,1284.0,3612,35.55,17.0,16.0,94.1%,6.0,35.4%,470.0,212.5,14.2,12.6,1.6,9.0,0.7,0.53,0.17,0.54,1.2,1.86
marvin harrison,22,ARI,17,116,62,885,22.18,67.0,1555.0,2668,58.28,13.0,4.0,36.4%,4.0,44.0%,495.0,196.5,11.6,13.6,-2.0,8.0,0.5,0.5,0.0,0.74,-1.4,1.79
ray-ray mccloud,28,ATL,17,87,62,686,16.14,65.0,589.0,3790,15.54,5.0,3.0,60.0%,1.0,14.3%,515.0,140.5,8.3,8.3,0.0,1.0,0.1,0.1,0.0,0.35,-4.7,1.33
