"Rank","Player","REC_I10","TGT_I10","REC_PCT_I10","YDS_I10","Y/R","TD_I10","TGT_PCT_I10","ATT","YDS","TD","PCT","FL","G","FPTS","FPTS/G","ROST %"
"94","Xavier Gipson (NYJ)","1","1","100.0%","1","1.0","1","3.3%","0","0","0","0%","0","17","6.1","0.4","0.7%"
"95","Parris Campbell (DAL)","1","1","100.0%","1","1.0","1","6.7%","0","0","0","0%","0","4","6.1","1.5","0.1%"
"96","Ryan Miller (TB)","1","1","100.0%","1","1.0","1","3.8%","0","0","0","0%","0","11","6.1","0.6","1.0%"
"97","David Moore (CAR)","1","3","33.3%","1","1.0","1","12.5%","1","0","0","100.0%","0","17","6.1","0.4","0.8%"
"98","Brandon Aiyuk (SF)","1","2","50.0%","9","9.0","0","10.5%","0","0","0","0.0%","0","7","0.9","0.1","71.1%"
"99","Trenton Irwin (JAC)","2","5","40.0%","9","4.5","0","11.1%","0","0","0","0%","0","6","0.9","0.2","0.0%"
"100","Noah Brown (WAS)","1","2","50.0%","8","8.0","0","11.1%","0","0","0","0%","0","11","0.8","0.1","3.4%"
"101","K.J. Osborn (WAS)","1","1","100.0%","7","7.0","0","11.1%","0","0","0","0%","0","7","0.7","0.1","1.4%"
"102","DeAndre Carter (CLE)","1","1","100.0%","7","7.0","0","5.3%","0","0","0","0%","0","13","0.7","0.1","0.1%"
"103","Darius Slayton (NYG)","0","0","0%","0","0","0","0.0%","1","6","0","50.0%","0","16","0.6","0.0","14.3%"
"104","Tyler Johnson (NYJ)","1","4","25.0%","6","6.0","0","16.0%","0","0","0","0.0%","0","11","0.6","0.1","1.1%"
"105","Lil'Jordan Humphrey (NYG)","1","4","25.0%","6","6.0","0","23.5%","0","0","0","0%","0","14","0.6","0.0","0.7%"
"106","Luke McCaffrey (WAS)","1","2","50.0%","5","5.0","0","11.1%","0","0","0","0%","0","17","0.5","0.0","5.6%"
"107","Britain Covey (LAR)","2","2","100.0%","5","2.5","0","13.3%","0","0","0","0%","0","5","0.5","0.1","0.0%"
"108","Marvin Mims Jr. (DEN)","2","2","100.0%","5","2.5","0","11.8%","0","0","0","0%","0","17","0.5","0.0","52.6%"
"109","Kayshon Boutte (NE)","1","2","50.0%","4","4.0","0","22.2%","0","0","0","0%","0","15","0.4","0.0","13.6%"
"110","Malik Washington (MIA)","1","1","100.0%","4","4.0","0","6.7%","0","0","0","0.0%","0","14","0.4","0.0","7.3%"
"111","Joshua Palmer (BUF)","1","2","50.0%","4","4.0","0","15.4%","0","0","0","0%","0","15","0.4","0.0","23.5%"
"112","Elijah Moore (BUF)","1","2","50.0%","3","3.0","0","22.2%","0","0","0","0%","0","17","0.3","0.0","7.6%"
"113","Deven Thompkins (FA)","1","1","100.0%","2","2.0","0","4.2%","0","0","0","0.0%","0","5","0.2","0.0","0.0%"
"114","Curtis Samuel (BUF)","1","2","50.0%","1","1.0","0","12.5%","1","0","0","100.0%","0","14","0.1","0.0","8.8%"
"115","Jacob Cowing (SF)","0","1","0.0%","0","0","0","5.3%","0","0","0","0.0%","0","15","0.0","0.0","1.6%"
"116","Malachi Corley (NYJ)","0","1","0.0%","0","0","0","3.3%","0","0","0","0%","0","7","0.0","0.0","5.2%"
"117","Cedric Tillman (CLE)","1","2","50.0%","0","0.0","0","22.2%","0","0","0","0%","0","11","0.0","0.0","33.8%"
"118","Odell Beckham Jr. (FA)","0","2","0.0%","0","0","0","13.3%","0","0","0","0.0%","0","8","0.0","0.0","1.1%"
"119","Irvin Charles (NYJ)","0","1","0.0%","0","0","0","3.3%","0","0","0","0%","0","11","0.0","0.0","1.1%"
"120","Jake Bobo (SEA)","0","0","0%","0","0","0","0.0%","0","0","0","0%","0","17","0.0","0.0","2.3%"
"121","Jalen Coker (CAR)","0","3","0.0%","0","0","0","12.5%","0","0","0","0.0%","0","11","0.0","0.0","17.8%"
"122","Rashid Shaheed (NO)","0","2","0.0%","0","0","0","28.6%","0","0","0","0%","0","6","0.0","0.0","67.9%"
"123","Jalen Brooks (DAL)","0","3","0.0%","0","0","0","16.7%","0","0","0","0%","0","14","0.0","0.0","0.6%"
"124","Zay Jones (ARI)","0","0","0%","0","0","0","0.0%","0","0","0","0.0%","0","11","0.0","0.0","2.6%"
"125","Jermaine Burton (CIN)","0","2","0.0%","0","0","0","4.4%","0","0","0","0%","0","14","0.0","0.0","6.8%"
"126","Adonai Mitchell (IND)","0","2","0.0%","0","0","0","11.8%","0","0","0","0%","0","17","0.0","0.0","16.4%"
"127","Michael Woods II (CLE)","0","1","0.0%","0","0","0","11.1%","0","0","0","0%","0","5","0.0","0.0","0.1%"
"128","Dante Pettis (NO)","0","1","0.0%","0","0","0","14.3%","0","0","0","0%","0","8","0.0","0.0","0.1%"
"129","Braxton Berrios (HOU)","0","1","0.0%","0","0","0","6.7%","0","0","0","0.0%","0","8","0.0","0.0","0.6%"
"130","Ray-Ray McCloud III (ATL)","0","1","0.0%","0","0","0","7.1%","0","0","0","0%","0","17","0.0","0.0","5.7%"
"131","KhaDarel Hodge (ATL)","0","1","0.0%","0","0","0","7.1%","0","0","0","0%","0","16","0.0","0.0","0.8%"
"132","DK Metcalf (PIT)","0","5","0.0%","0","0","0","27.8%","0","0","0","0%","0","15","0.0","0.0","95.4%"
"133","KaVontae Turpin (DAL)","0","2","0.0%","0","0","0","11.1%","0","0","0","0%","0","17","0.0","0.0","5.9%"
"134","Ashton Dulin (IND)","0","1","0.0%","0","0","0","5.9%","0","0","0","0%","0","15","0.0","0.0","0.1%"
"135","Quinton Bell (MIA)","0","0","0%","0","0","0","0.0%","0","0","0","0.0%","0","16","0.0","0.0","1.2%"
"136","Alex Bachman (LV)","0","0","0%","0","0","0","0.0%","0","0","0","0.0%","0","5","0.0","0.0","0.0%"
"137","Mike Williams (LAC)","0","1","0.0%","0","0","0","5.9%","0","0","0","0%","0","14","0.0","0.0","13.9%"
"138","Justyn Ross (KC)","0","1","0.0%","0","0","0","4.5%","0","0","0","0.0%","0","2","0.0","0.0","0.0%"
"139","Darnell Mooney (ATL)","0","2","0.0%","0","0","0","14.3%","0","0","0","0%","0","16","0.0","0.0","68.7%"
"140","Chris Olave (NO)","0","1","0.0%","0","0","0","14.3%","0","0","0","0%","0","8","0.0","0.0","88.6%"
