Rk,Player,Age,Team,Pos,G,GS,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,TK LOSS,TK LOSS YDS,REC,TGT,RZ TGT_x,Rush TD,Rec TD,Rec YDS,FPTS,FPTS/G,RZ YDS,RZ TD,RZ PCT,RZ REC,RZ TGT_y,RZ REC TD,RZ REC TGT PCT,RZ FPTS,RZ FPTS/G,XFP,TD/G,XTD,fpts_diff,tds_diff
34,rachaad white,25,TAM,RB,16,15,144,613,35,231,1.6,382,2.7,9,16.0,17.0,-36.0,51.0,57.0,10.0,3.0,6.0,393.0,199.6,12.5,48.0,3.0,34.4%,11.0,11.0,5.0,61.1%,71.6,4.5,11.2,0.6,0.38,1.3,0.22
36,javonte williams,24,DEN,RB,17,11,139,513,30,258,1.9,255,1.8,4,34.8,17.0,-36.0,52.0,70.0,4.0,4.0,0.0,346.0,157.9,9.3,64.0,4.0,51.9%,1.0,3.0,0.0,30.0%,32.5,1.9,11.6,0.2,0.41,-2.3,-0.21
37,tyler allgeier,24,ATL,RB,17,0,137,644,43,288,2.1,356,2.6,7,19.6,11.0,-18.0,13.0,13.0,0.0,3.0,0.0,88.0,106.2,6.2,49.0,3.0,32.9%,1.0,1.0,0.0,14.3%,24.2,1.4,6.1,0.2,0.28,0.1,-0.08
38,zach charbonnet,23,SEA,RB,17,6,135,569,32,267,2.0,302,2.2,12,11.3,15.0,-17.0,42.0,52.0,1.0,8.0,1.0,340.0,186.9,11.0,53.0,6.0,45.8%,1.0,1.0,0.0,9.1%,43.5,2.6,9.8,0.5,0.41,1.2,0.09
39,alexander mattison,26,LVR,RB,14,7,132,420,25,209,1.6,211,1.6,7,18.9,17.0,-30.0,36.0,48.0,1.0,4.0,1.0,294.0,137.4,9.8,40.0,4.0,45.8%,1.0,1.0,0.0,12.5%,29.0,2.1,12.3,0.4,0.49,-2.5,-0.09
40,antonio gibson,26,NWE,RB,17,3,120,538,24,215,1.8,323,2.7,12,10.0,15.0,-28.0,23.0,29.0,2.0,1.0,0.0,206.0,103.4,6.1,40.0,1.0,25.0%,1.0,1.0,0.0,7.7%,11.7,0.7,6.4,0.1,0.15,-0.3,-0.05
41,jaylen warren,26,PIT,RB,15,0,120,511,28,279,2.3,232,1.9,10,12.0,12.0,-21.0,38.0,47.0,6.0,1.0,0.0,310.0,124.1,8.3,41.0,1.0,26.2%,3.0,7.0,0.0,53.8%,12.7,0.8,9.4,0.1,0.26,-1.1,-0.16
42,ray davis,25,BUF,RB,17,0,113,442,25,217,1.9,225,2.0,6,18.8,11.0,-21.0,17.0,19.0,2.0,3.0,3.0,189.0,116.1,6.8,86.0,3.0,25.4%,1.0,1.0,1.0,7.7%,34.1,2.0,5.5,0.4,0.2,1.3,0.2
43,jaleel mclaughlin,24,DEN,RB,16,5,113,496,25,302,2.7,194,1.7,8,14.1,14.0,-38.0,24.0,27.0,3.0,1.0,2.0,76.0,97.2,6.1,22.0,1.0,23.1%,3.0,3.0,2.0,30.0%,24.3,1.5,6.4,0.2,0.2,-0.3,0.0
44,devin singletary,27,NYG,RB,15,5,113,437,24,206,1.8,231,2.0,10,11.3,6.0,-17.0,21.0,24.0,0.0,4.0,0.0,119.0,96.6,6.0,31.0,4.0,28.2%,0.0,0.0,0.0,0.0%,27.1,1.7,7.1,0.3,0.21,-1.1,0.09
45,jerome ford,25,CLE,RB,14,6,104,565,25,345,3.3,220,2.1,5,20.8,11.0,-26.0,37.0,43.0,1.0,3.0,0.0,225.0,134.0,9.6,25.0,2.0,25.6%,1.0,1.0,0.0,33.3%,15.8,1.1,8.8,0.2,0.17,0.8,0.03
46,cam akers,25,2TM,RB,17,2,104,444,21,226,2.2,218,2.1,7,14.9,19.0,-37.0,14.0,18.0,4.0,2.0,3.0,68.0,93.2,5.8,23.0,2.0,18.3%,3.0,4.0,3.0,19.0%,35.3,2.2,5.8,0.3,0.2,0.0,0.1
