,Player,Age,Team,G,Att,Team Att,Att_Share,Yds,YBC,YBC/Att,YAC,YAC/Att,REC,TGT,Rec YDS,Rush TD,Rec TD,RZ TD,RZ PCT,RZ REC,RZ REC TD,FPTS,FPTS/G,XFP,TD/G,XTD,fpts_diff,tds_diff,VOR,ALY
86,hassan haskins,25,LAC,17,34,373,9.12,89,39,1.1,50,1.5,3.0,3.0,49.0,2.0,1.0,1.0,12.3%,0.0,0.0,32.8,2.2,2.8,0.2,0.29,-0.6,-0.09,-9.3,4.13
87,tyler goodson,24,IND,16,32,391,8.18,153,93,2.9,60,1.9,11.0,15.0,61.0,1.0,1.0,1.0,8.1%,2.0,1.0,44.4,2.8,2.8,0.1,0.11,0.0,-0.01,-8.7,4.02
88,dernest johnson,28,JAX,14,32,350,9.14,143,79,2.5,64,2.0,12.0,19.0,96.0,0.0,0.0,0.0,10.3%,0.0,0.0,35.9,3.0,3.5,0.0,0.11,-0.5,-0.11,-8.5,4.33
89,cordarrelle patterson,33,PIT,13,32,426,7.51,135,46,1.4,89,2.8,12.0,14.0,80.0,0.0,1.0,0.0,1.5%,2.0,1.0,37.5,2.9,2.9,0.1,0.07,0.0,0.03,-8.6,4.35
90,kenny mcintosh,24,SEA,17,31,322,9.63,172,97,3.1,75,2.4,3.0,4.0,22.0,0.0,0.0,0.0,6.3%,0.0,0.0,22.4,1.9,3.0,0.0,0.04,-1.1,-0.04,-9.6,4.1
91,craig reynolds,28,DET,17,31,478,6.49,139,91,2.9,48,1.5,3.0,5.0,40.0,0.0,0.0,0.0,1.9%,0.0,0.0,20.9,1.5,1.7,0.0,0.03,-0.2,-0.03,-10.0,5.1
92,isaiah davis,22,NYJ,17,30,331,9.06,174,66,2.2,108,3.6,9.0,12.0,75.0,1.0,1.0,1.0,8.6%,2.0,1.0,45.9,3.3,4.5,0.2,0.15,-1.2,0.05,-8.2,4.35
93,dare ogunbowale,30,HOU,17,30,366,8.2,112,70,2.3,42,1.4,19.0,28.0,198.0,0.0,1.0,0.0,6.3%,2.0,1.0,56.0,3.3,3.5,0.1,0.13,-0.2,-0.03,-8.2,4.08
94,will shipley,22,PHI,16,30,453,6.62,82,44,1.5,38,1.3,4.0,4.0,35.0,0.0,0.0,0.0,1.2%,0.0,0.0,15.7,1.2,2.6,0.0,0.06,-1.4,-0.06,-10.3,4.2
95,pierre strong,26,CLE,14,26,308,8.44,108,69,2.7,39,1.5,14.0,22.0,104.0,0.0,0.0,0.0,0.0%,1.0,0.0,35.2,2.7,3.6,0.0,0.02,-0.9,-0.02,-8.8,3.87
96,emari demercado,25,ARI,13,24,371,6.47,223,86,3.6,137,5.7,16.0,20.0,104.0,1.0,0.0,0.0,0.0%,4.0,0.0,54.7,4.2,3.3,0.1,0.03,0.9,0.07,-7.3,4.63
97,julius chestnut,24,TEN,17,22,367,5.99,102,55,2.5,47,2.1,2.0,3.0,11.0,0.0,0.0,0.0,8.7%,0.0,0.0,13.3,1.0,1.4,0.0,0.06,-0.4,-0.06,-10.5,4.1
98,ronnie rivers,25,LAR,17,22,397,5.54,99,71,3.2,28,1.3,5.0,6.0,34.0,0.0,0.0,0.0,1.3%,0.0,0.0,18.3,2.6,4.1,0.0,0.1,-1.5,-0.1,-8.9,4.63
99,jamycal hasty,28,NWE,15,20,360,5.56,69,38,1.9,31,1.6,10.0,12.0,59.0,0.0,1.0,0.0,0.0%,1.0,1.0,28.8,2.4,2.7,0.1,0.02,-0.3,0.08,-9.1,4.05
100,jordan mims,25,NOR,11,20,348,5.75,70,50,2.5,20,1.0,12.0,18.0,71.0,0.0,0.0,0.0,2.2%,1.0,0.0,26.1,3.3,4.5,0.0,0.1,-1.2,-0.1,-8.2,4.18
101,samaje perine,29,KAN,17,20,359,5.57,92,54,2.7,38,1.9,28.0,35.0,322.0,1.0,1.0,1.0,3.1%,1.0,1.0,81.4,4.8,4.1,0.1,0.14,0.7,-0.04,-6.7,4.46
102,deuce vaughn,23,DAL,7,17,346,4.91,70,38,2.2,32,1.9,3.0,5.0,18.0,0.0,0.0,0.0,2.8%,0.0,0.0,11.8,2.0,2.8,0.0,0.06,-0.8,-0.06,-9.5,4.6
103,jeff wilson,29,MIA,9,16,372,4.3,57,24,1.5,33,2.1,3.0,3.0,19.0,0.0,0.0,0.0,1.7%,0.0,0.0,10.6,1.5,1.5,0.0,0.05,0.0,-0.05,-10.0,3.6
104,raheem blackshear,25,CAR,16,15,342,4.39,80,35,2.3,45,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9%,0.0,0.0,8.0,0.5,1.0,0.0,0.01,-0.5,-0.01,-11.0,4.73
105,keaton mitchell,22,BAL,5,15,397,3.78,30,8,0.5,22,1.5,1.0,1.0,28.0,0.0,0.0,,,,,6.8,1.7,2.1,0.0,0.01,-0.4,-0.01,-9.8,4.75
106,eric gray,25,NYG,17,14,319,4.39,31,17,1.2,14,1.0,10.0,11.0,82.0,0.0,0.0,0.0,15.4%,1.0,0.0,17.3,1.1,2.2,0.0,0.13,-1.1,-0.13,-10.4,4.2
107,mike boone,29,CAR,6,13,342,3.8,51,30,2.3,21,1.6,1.0,3.0,-2.0,0.0,0.0,0.0,1.9%,0.0,0.0,5.9,1.2,2.2,0.0,0.03,-1.0,-0.03,-10.3,4.73
108,clyde edwards-helaire,25,NOR,2,13,348,3.74,46,17,1.3,29,2.2,3.0,5.0,24.0,0.0,0.0,,,,,10.0,5.0,,,,,,-6.5,4.18
109,terrell jennings,23,NWE,3,13,360,3.61,33,19,1.5,14,1.1,0.0,1.0,0.0,0.0,0.0,0.0,1.8%,0.0,0.0,3.3,1.7,6.2,0.0,0.26,-4.5,-0.26,-9.8,4.05
110,jase mcclellan,22,ATL,2,13,454,2.86,32,13,1.0,19,1.5,0.0,0.0,0.0,0.0,0.0,,,,,3.2,1.1,2.8,0.0,0.04,-1.7,-0.04,-10.4,4.71
111,hunter luepke,24,DAL,16,12,346,3.47,38,13,1.1,25,2.1,12.0,16.0,111.0,0.0,0.0,0.0,5.6%,0.0,0.0,26.9,1.7,,,,,,-9.8,4.6
112,tyler badie,24,DEN,3,11,343,3.21,86,22,2.0,64,5.8,3.0,3.0,-2.0,0.0,0.0,0.0,0.0%,1.0,0.0,9.4,3.1,3.6,0.0,0.04,-0.5,-0.04,-8.4,4.52
113,rasheen ali,23,BAL,6,10,397,2.52,31,16,1.6,15,1.5,0.0,2.0,0.0,0.0,0.0,0.0,4.8%,0.0,0.0,3.1,0.6,,,,,,-10.9,4.75
114,jj taylor,26,HOU,5,10,366,2.73,44,34,3.4,10,1.0,2.0,3.0,0.0,0.0,0.0,0.0,3.1%,0.0,0.0,6.4,1.6,2.3,0.0,0.06,-0.7,-0.06,-9.9,4.08
115,jonathon brooks,21,CAR,3,9,342,2.63,22,8,0.9,14,1.6,3.0,3.0,23.0,0.0,0.0,0.0,5.6%,2.0,0.0,7.5,2.5,4.0,0.0,0.25,-1.5,-0.25,-9.0,4.73
116,deejay dallas,26,ARI,17,9,371,2.43,49,32,3.6,17,1.9,3.0,3.0,11.0,0.0,1.0,0.0,1.7%,1.0,1.0,21.0,1.3,2.0,0.1,0.1,-0.7,0.0,-10.2,4.63
